GameNumber,HomeTeam,AwayTeam,GameDate,KO
1,1,4,2023-04-12,20:00
2,21,17,2023-04-14,20:00
3,9,8,2023-04-15,12:00
4,10,12,2023-04-15,14:00
6,13,11,2023-04-15,15:00
5,3,16,2023-04-15,18:00
7,20,18,2023-04-16,15:00
8,2,7,2023-04-16,16:00
9,15,5,2023-04-16,18:00
10,6,19,2023-04-16,21:00
11,9,13,2023-04-20,20:30
12,7,3,2023-04-21,20:00
13,21,11,2023-04-21,20:00
16,8,6,2023-04-22,12:00
18,10,4,2023-04-22,14:00
20,12,1,2023-04-22,18:00
22,5,19,2023-04-22,18:30
26,2,18,2023-04-23,16:00
382,17,20,2023-04-23,16:00
27,16,22,2023-04-23,19:00
30,9,1,2023-04-26,20:00
32,7,22,2023-04-27,20:00
35,13,12,2023-04-28,20:00
39,19,2,2023-04-29,20:00
40,20,8,2023-04-29,21:00
43,18,16,2023-04-30,16:00
46,15,3,2023-04-30,18:00
47,5,11,2023-04-30,18:30
48,17,10,2023-04-30,20:00
33,21,4,2023-05-02,21:00
51,11,20,2023-05-03,21:00
53,21,9,2023-05-05,20:00
54,16,15,2023-05-05,21:00
383,8,5,2023-05-06,13:00
61,6,20,2023-05-06,19:00
63,19,11,2023-05-06,20:00
64,4,22,2023-05-06,20:00
62,18,3,2023-05-07,16:00
67,2,17,2023-05-07,16:00
70,1,13,2023-05-07,20:15
72,10,8,2023-05-09,19:30
77,13,17,2023-05-12,20:00
80,10,19,2023-05-13,12:00
79,16,8,2023-05-13,16:00
84,21,18,2023-05-13,19:00
88,22,5,2023-05-13,20:30
89,12,11,2023-05-13,21:00
92,15,6,2023-05-14,18:00
85,3,2,2023-05-14,20:30
86,20,7,2023-05-14,21:00
97,9,4,2023-05-17,20:00
103,6,5,2023-05-19,20:00
102,9,22,2023-05-20,19:00
104,20,21,2023-05-20,21:00
108,2,13,2023-05-21,16:00
110,17,19,2023-05-21,16:00
109,18,8,2023-05-21,16:00
111,11,15,2023-05-21,19:00
101,3,12,2023-05-21,20:30
114,7,4,2023-05-23,21:00
118,20,9,2023-05-24,21:00
120,21,12,2023-05-26,20:00
121,16,10,2023-05-26,20:45
128,4,13,2023-05-27,20:00
127,19,3,2023-05-27,20:00
125,6,17,2023-05-27,20:00
126,22,20,2023-05-27,20:00
129,11,1,2023-05-28,14:00
133,2,8,2023-05-28,16:00
135,7,15,2023-05-28,17:30
136,5,9,2023-05-28,18:30
138,6,12,2023-05-30,19:00
139,15,10,2023-05-31,20:00
142,21,7,2023-06-02,20:00
144,16,12,2023-06-02,20:45
152,3,13,2023-06-03,18:00
153,4,11,2023-06-03,20:00
154,5,10,2023-06-03,20:00
155,22,2,2023-06-03,20:30
157,18,6,2023-06-04,16:00
158,15,17,2023-06-04,18:00
159,1,20,2023-06-04,19:00
167,13,19,2023-06-09,20:00
170,8,21,2023-06-10,12:00
169,10,9,2023-06-10,14:00
173,6,11,2023-06-10,19:00
175,4,20,2023-06-10,20:00
176,22,1,2023-06-10,20:00
181,17,12,2023-06-11,16:00
174,18,5,2023-06-11,16:00
180,7,16,2023-06-11,17:30
182,15,2,2023-06-11,18:00
185,1,3,2023-06-13,20:00
190,16,9,2023-06-14,20:45
189,8,7,2023-06-14,21:00
191,4,6,2023-06-14,21:00
187,5,17,2023-06-14,21:00
193,16,13,2023-06-16,20:45
195,19,8,2023-06-17,14:00
198,12,22,2023-06-17,18:00
200,5,20,2023-06-17,20:00
203,7,1,2023-06-18,15:00
205,9,18,2023-06-18,16:00
204,2,6,2023-06-18,16:00
208,15,4,2023-06-18,18:00
207,17,11,2023-06-18,18:00
201,3,10,2023-06-18,20:30
74,19,21,2023-06-21,21:00
215,13,7,2023-06-23,20:00
218,12,18,2023-06-24,18:00
221,3,21,2023-06-24,18:00
220,22,10,2023-06-24,18:00
222,6,16,2023-06-24,19:00
224,4,17,2023-06-24,20:00
223,20,2,2023-06-24,21:00
229,9,19,2023-06-25,19:00
231,11,8,2023-06-25,19:00
230,1,15,2023-06-25,19:00
234,10,13,2023-06-27,19:30
233,7,18,2023-06-27,20:00
242,17,8,2023-06-30,20:00
241,21,2,2023-06-30,20:00
246,12,7,2023-07-01,18:00
253,1,18,2023-07-02,17:00
254,5,16,2023-07-02,18:30
258,22,13,2023-07-02,19:00
255,9,15,2023-07-02,19:00
256,11,10,2023-07-02,19:00
259,19,4,2023-07-02,20:00
245,3,6,2023-07-02,20:30
263,2,11,2023-07-05,19:00
381,4,5,2023-07-05,21:00
262,22,15,2023-07-05,21:00
264,21,13,2023-07-07,20:00
270,6,10,2023-07-08,19:00
273,19,7,2023-07-08,20:00
272,4,2,2023-07-08,20:00
271,20,12,2023-07-08,21:00
277,8,3,2023-07-09,16:00
269,18,15,2023-07-09,16:00
279,17,22,2023-07-09,18:00
280,5,1,2023-07-09,18:30
281,11,16,2023-07-09,19:00
287,3,17,2023-07-13,21:00
293,13,6,2023-07-14,20:00
294,16,1,2023-07-14,20:45
296,19,22,2023-07-15,14:00
301,10,21,2023-07-15,17:00
302,12,5,2023-07-15,18:00
304,20,15,2023-07-15,21:00
306,2,9,2023-07-16,16:00
297,18,4,2023-07-16,16:00
308,17,7,2023-07-16,18:00
310,11,3,2023-07-16,19:00
317,13,20,2023-07-21,20:00
318,16,2,2023-07-21,20:45
323,10,1,2023-07-22,17:00
326,9,6,2023-07-22,19:00
328,4,3,2023-07-22,20:00
327,22,11,2023-07-22,20:00
329,18,19,2023-07-23,16:00
331,15,21,2023-07-23,18:00
332,5,7,2023-07-23,18:30
334,12,8,2023-07-23,21:00
335,1,8,2023-07-26,20:00
336,21,5,2023-07-28,20:00
337,16,17,2023-07-28,20:45
338,8,15,2023-07-29,13:00
339,13,18,2023-07-29,16:00
340,6,22,2023-07-29,19:00
342,4,12,2023-07-29,20:00
341,20,3,2023-07-29,20:00
343,2,10,2023-07-30,16:00
344,1,19,2023-07-30,19:00
345,7,9,2023-08-01,20:00
346,12,2,2023-08-02,21:00
347,16,21,2023-08-04,20:45
348,8,13,2023-08-05,13:00
349,10,7,2023-08-05,14:00
353,20,19,2023-08-05,15:00
350,15,12,2023-08-05,18:00
351,3,22,2023-08-05,18:00
352,6,1,2023-08-05,19:00
355,2,5,2023-08-06,16:00
354,11,18,2023-08-06,17:00
356,17,9,2023-08-06,18:00
357,1,21,2023-08-09,20:00
359,22,18,2023-08-09,21:00
358,19,16,2023-08-09,21:00
360,13,5,2023-08-11,20:00
361,9,3,2023-08-11,20:00
362,10,20,2023-08-12,14:00
363,8,22,2023-08-12,15:00
364,6,21,2023-08-12,19:00
365,4,16,2023-08-12,20:00
367,2,1,2023-08-13,16:00
368,7,11,2023-08-13,17:30
366,17,18,2023-08-13,18:00
369,15,19,2023-08-13,18:00
370,12,9,2023-08-16,21:00
371,16,20,2023-08-18,20:45
372,8,4,2023-08-19,12:00
373,18,10,2023-08-19,19:00
374,19,12,2023-08-19,20:00
375,22,21,2023-08-19,20:00
376,3,5,2023-08-19,21:00
377,7,6,2023-08-20,17:30
378,15,13,2023-08-20,18:00
379,11,9,2023-08-20,19:00
380,1,17,2023-08-20,19:00
